"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
943,804,6,2,3,1,0,0.333333333333333,0.5,0.166666666666667,0
944,1604,1,1,0,0,0,1,0,0,0
945,1566,0,0,0,0,0,0,0,0,0
946,638,1,0,1,0,0,0,1,0,0
947,2527,0,0,0,0,0,0,0,0,0
948,192,3,2,0,1,0,0.666666666666667,0,0.333333333333333,0
949,628,0,0,0,0,0,0,0,0,0
950,2759,0,0,0,0,0,0,0,0,0
951,2792,7,2,3,2,0,0.285714285714286,0.428571428571429,0.285714285714286,0
952,2560,0,0,0,0,0,0,0,0,0
953,2867,2,0,0,1,1,0,0,0.5,0.5
954,398,2,0,1,1,0,0,0.5,0.5,0
955,1477,1,0,1,0,0,0,1,0,0
956,1323,4,2,2,0,0,0.5,0.5,0,0
957,1615,2,0,1,0,1,0,0.5,0,0.5
958,1159,1,1,0,0,0,1,0,0,0
959,588,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
960,398,2,1,1,0,0,0.5,0.5,0,0
961,630,1,0,1,0,0,0,1,0,0
962,1644,1,0,1,0,0,0,1,0,0
963,2744,2,0,2,0,0,0,1,0,0
964,185,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
965,1462,5,1,3,0,1,0.2,0.6,0,0.2
966,113,4,1,3,0,0,0.25,0.75,0,0
967,1540,0,0,0,0,0,0,0,0,0
968,1644,2,1,1,0,0,0.5,0.5,0,0
969,1510,6,1,3,2,0,0.166666666666667,0.5,0.333333333333333,0
970,2063,6,3,1,2,0,0.5,0.166666666666667,0.333333333333333,0
971,2992,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
972,705,5,3,0,2,0,0.6,0,0.4,0
973,1333,0,0,0,0,0,0,0,0,0
974,237,1,0,0,1,0,0,0,1,0
975,126,8,3,5,0,0,0.375,0.625,0,0
976,1956,0,0,0,0,0,0,0,0,0
977,1943,2,2,0,0,0,1,0,0,0
978,749,2,0,1,1,0,0,0.5,0.5,0
979,1631,1,0,0,0,1,0,0,0,1
980,735,0,0,0,0,0,0,0,0,0
981,1818,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
982,1631,0,0,0,0,0,0,0,0,0
983,971,5,3,2,0,0,0.6,0.4,0,0
984,371,3,3,0,0,0,1,0,0,0
985,2542,5,1,3,0,1,0.2,0.6,0,0.2
986,2529,2,2,0,0,0,1,0,0,0
987,1363,3,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0
988,2676,4,3,1,0,0,0.75,0.25,0,0
989,1487,6,3,3,0,0,0.5,0.5,0,0
990,2721,5,3,2,0,0,0.6,0.4,0,0
991,1971,2,0,2,0,0,0,1,0,0
992,2417,4,2,0,2,0,0.5,0,0.5,0
993,171,2,1,1,0,0,0.5,0.5,0,0
994,1631,0,0,0,0,0,0,0,0,0
995,2430,3,0,2,1,0,0,0.666666666666667,0.333333333333333,0
996,2052,6,2,4,0,0,0.333333333333333,0.666666666666667,0,0
997,798,2,0,1,1,0,0,0.5,0.5,0
998,479,3,3,0,0,0,1,0,0,0
999,669,2,0,1,1,0,0,0.5,0.5,0
1000,1983,1,0,1,0,0,0,1,0,0
1001,1730,1,1,0,0,0,1,0,0,0
1002,2100,1,1,0,0,0,1,0,0,0
1003,2553,0,0,0,0,0,0,0,0,0
1004,1989,1,1,0,0,0,1,0,0,0
1005,963,2,1,1,0,0,0.5,0.5,0,0
1006,1336,2,1,1,0,0,0.5,0.5,0,0
1007,1185,4,4,0,0,0,1,0,0,0
1008,560,5,2,3,0,0,0.4,0.6,0,0
1009,2797,2,1,0,1,0,0.5,0,0.5,0
1010,3067,2,2,0,0,0,1,0,0,0
1011,366,3,0,3,0,0,0,1,0,0
1012,2244,3,1,0,2,0,0.333333333333333,0,0.666666666666667,0
1013,1232,1,1,0,0,0,1,0,0,0
1014,2598,5,2,2,1,0,0.4,0.4,0.2,0
1015,492,4,3,1,0,0,0.75,0.25,0,0
1016,820,1,1,0,0,0,1,0,0,0
1017,2024,2,0,0,2,0,0,0,1,0
1018,2511,1,0,1,0,0,0,1,0,0
1019,1959,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1020,2350,0,0,0,0,0,0,0,0,0
1021,1456,2,0,1,0,1,0,0.5,0,0.5
1022,2110,1,0,0,0,1,0,0,0,1
1023,465,1,1,0,0,0,1,0,0,0
1024,1338,3,3,0,0,0,1,0,0,0
1025,2939,1,0,0,1,0,0,0,1,0
1026,237,1,0,1,0,0,0,1,0,0
1027,975,1,0,0,1,0,0,0,1,0
1028,1180,0,0,0,0,0,0,0,0,0
1029,1475,1,0,1,0,0,0,1,0,0
1030,1781,4,0,3,1,0,0,0.75,0.25,0
1031,1638,2,0,1,1,0,0,0.5,0.5,0
1032,3147,4,2,2,0,0,0.5,0.5,0,0
1033,363,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
1034,1211,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333
1035,975,3,0,2,1,0,0,0.666666666666667,0.333333333333333,0
1036,3000,1,1,0,0,0,1,0,0,0
1037,2387,2,0,1,0,1,0,0.5,0,0.5
1038,1916,1,0,1,0,0,0,1,0,0
1039,2400,0,0,0,0,0,0,0,0,0
1040,2374,4,2,0,1,1,0.5,0,0.25,0.25
1041,373,7,2,1,2,2,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286
1042,2536,2,1,1,0,0,0.5,0.5,0,0
1043,1957,2,0,2,0,0,0,1,0,0
1044,735,1,0,1,0,0,0,1,0,0
1045,2775,3,2,0,1,0,0.666666666666667,0,0.333333333333333,0
1046,617,2,0,0,2,0,0,0,1,0
1047,1073,1,0,1,0,0,0,1,0,0
1048,1714,1,1,0,0,0,1,0,0,0
1049,750,1,1,0,0,0,1,0,0,0
1050,1002,2,0,2,0,0,0,1,0,0
1051,2174,0,0,0,0,0,0,0,0,0
1052,2653,2,0,2,0,0,0,1,0,0
1053,2063,8,2,6,0,0,0.25,0.75,0,0
1054,611,2,2,0,0,0,1,0,0,0
1055,692,5,3,2,0,0,0.6,0.4,0,0
1056,3071,2,1,0,0,1,0.5,0,0,0.5
1057,3128,2,2,0,0,0,1,0,0,0
1058,351,2,1,1,0,0,0.5,0.5,0,0
1059,1073,1,1,0,0,0,1,0,0,0
1060,2416,2,1,1,0,0,0.5,0.5,0,0
1061,256,6,2,2,1,1,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667
1062,2989,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1063,238,0,0,0,0,0,0,0,0,0
1064,144,0,0,0,0,0,0,0,0,0
1065,2989,2,0,2,0,0,0,1,0,0
1066,2974,4,0,2,2,0,0,0.5,0.5,0
1067,791,2,0,1,0,1,0,0.5,0,0.5
1068,2938,1,1,0,0,0,1,0,0,0
1069,538,3,0,2,1,0,0,0.666666666666667,0.333333333333333,0
1070,1305,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333
1071,1727,1,0,1,0,0,0,1,0,0
1072,367,2,2,0,0,0,1,0,0,0
1073,2237,1,1,0,0,0,1,0,0,0
1074,2449,6,5,1,0,0,0.833333333333333,0.166666666666667,0,0
1075,1895,2,1,0,1,0,0.5,0,0.5,0
1076,535,0,0,0,0,0,0,0,0,0
1077,3114,5,4,1,0,0,0.8,0.2,0,0
1078,1522,9,3,4,1,1,0.333333333333333,0.444444444444444,0.111111111111111,0.111111111111111
1079,185,4,3,0,0,1,0.75,0,0,0.25
1080,638,1,0,1,0,0,0,1,0,0
1081,1534,6,1,2,3,0,0.166666666666667,0.333333333333333,0.5,0
1082,2178,1,0,1,0,0,0,1,0,0
1083,2453,2,0,2,0,0,0,1,0,0
1084,855,4,3,1,0,0,0.75,0.25,0,0
1085,1475,0,0,0,0,0,0,0,0,0
1086,2625,0,0,0,0,0,0,0,0,0
1087,1687,2,0,1,0,1,0,0.5,0,0.5
1088,3071,2,2,0,0,0,1,0,0,0
1089,579,0,0,0,0,0,0,0,0,0
1090,579,1,0,0,1,0,0,0,1,0
1091,2743,2,2,0,0,0,1,0,0,0
1092,1111,6,2,4,0,0,0.333333333333333,0.666666666666667,0,0
1093,1004,1,0,1,0,0,0,1,0,0
1094,2925,0,0,0,0,0,0,0,0,0
1095,1948,0,0,0,0,0,0,0,0,0
1096,818,2,1,1,0,0,0.5,0.5,0,0
1097,586,5,3,1,0,1,0.6,0.2,0,0.2
1098,1909,4,1,2,1,0,0.25,0.5,0.25,0
1099,2901,1,0,1,0,0,0,1,0,0
1100,2622,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1101,2653,1,0,1,0,0,0,1,0,0
1102,1624,3,2,0,1,0,0.666666666666667,0,0.333333333333333,0
1103,558,0,0,0,0,0,0,0,0,0
1104,1180,0,0,0,0,0,0,0,0,0
1105,2073,10,5,2,2,1,0.5,0.2,0.2,0.1
1106,254,3,0,3,0,0,0,1,0,0
1107,2669,6,3,2,1,0,0.5,0.333333333333333,0.166666666666667,0
1108,1154,0,0,0,0,0,0,0,0,0
1109,2621,5,1,2,1,1,0.2,0.4,0.2,0.2
1110,1239,8,3,5,0,0,0.375,0.625,0,0
